,animal,session,cluster ID,learning phase,Stim decoding accuracy,FR modulation
278,BS_70,BS_70_8_AC.pickle,1,post late,0.579639172,3.039014373716636
279,BS_70,BS_70_8_AC.pickle,18,post late,0.64610432,1.3689253935660464
280,BS_70,BS_70_8_AC.pickle,20,post late,0.580631242,3.737166324435318
281,BS_70,BS_70_8_AC.pickle,21,post late,0.663534641,13.699788583509507
282,BS_70,BS_70_8_AC.pickle,28,post late,0.590777989,1.5958240119313933
283,BS_70,BS_70_8_AC.pickle,36,post late,0.5808064,2.2771535580524342
284,BS_70,BS_70_8_AC.pickle,42,post late,0.564159128,2.4914442162902133
285,BS_70,BS_70_8_AC.pickle,48,post late,0.584762902,10.363984674329505
286,BS_70,BS_70_8_AC.pickle,52,post late,0.57832329,0.5065023956194391
287,BS_70,BS_70_9_AC.pickle,9,post late,0.632857424,2.565400843881853
288,BS_70,BS_70_9_AC.pickle,41,post late,0.623264233,0.8934707903780075
289,BS_70,BS_70_9_AC.pickle,48,post late,0.650114835,6.0903426791277235
290,BS_70,BS_70_9_AC.pickle,56,post late,0.611465053,10.999160369437451
291,BS_72,BS_72_10_AC.pickle,18,post late,0.56917119,13.402061855670107
292,BS_72,BS_72_13_AC.pickle,0,post late,0.563666173,1.321713870733477
293,BS_72,BS_72_13_AC.pickle,6,post late,0.591883254,4.671916010498688
294,BS_72,BS_72_13_AC.pickle,10,post late,0.592653846,7.267759562841531
295,BS_72,BS_72_1_AC.pickle,0,pre expert,0.649198035,12.38546603475514
296,BS_72,BS_72_1_AC.pickle,5,pre expert,0.603814055,3.34913112164297
297,BS_72,BS_72_1_AC.pickle,24,pre expert,0.612616759,1.579778830963664
298,BS_72,BS_72_1_AC.pickle,30,pre expert,0.626321305,12.922590837282781
299,BS_72,BS_72_1_AC.pickle,38,pre expert,0.657338201,5.5924170616113775
300,BS_72,BS_72_2_AC.pickle,1,pre expert,0.673312624,2.8947368421052637
301,BS_72,BS_72_2_AC.pickle,3,pre expert,0.730523473,22.588235294117645
302,BS_72,BS_72_2_AC.pickle,7,pre expert,0.85225869,6.627450980392157
303,BS_72,BS_72_2_AC.pickle,8,pre expert,0.585078244,2.470588235294118
304,BS_72,BS_72_2_AC.pickle,17,pre expert,0.639153857,6.039215686274509
305,BS_72,BS_72_2_AC.pickle,19,pre expert,0.746553109,12.470588235294118
306,BS_72,BS_72_2_AC.pickle,26,pre expert,0.568354799,1.9607843137254903
307,BS_72,BS_72_2_AC.pickle,52,pre expert,0.575759046,4.9350649350649345
308,BS_72,BS_72_3_AC.pickle,15,switch,0.566308397,8.03258145363409
309,BS_72,BS_72_3_AC.pickle,17,switch,0.696609968,5.9333333333333504
310,BS_72,BS_72_3_AC.pickle,31,switch,0.749540025,64.23333333333335
311,BS_72,BS_72_3_AC.pickle,32,switch,0.694396773,6.485943775100398
312,BS_72,BS_72_4_AC.pickle,7,post early,0.604765368,2.019607843137254
313,BS_72,BS_72_4_AC.pickle,12,post early,0.594467158,1.1054421768707474
314,BS_72,BS_72_4_AC.pickle,44,post early,0.559827396,4.075117370892018
315,BS_72,BS_72_4_AC.pickle,46,post early,0.562364267,7.562189054726367
316,BS_72,BS_72_4_AC.pickle,54,post early,0.590319799,10.068027210884367
317,BS_72,BS_72_4_AC.pickle,55,post early,0.604899238,31.238938053097336
318,BS_72,BS_72_4_AC.pickle,70,post early,0.66571752,18.323108384458077
319,BS_72,BS_72_4_AC.pickle,115,post early,0.63443251,29.14965986394558
320,BS_72,BS_72_5_AC.pickle,0,post late,0.564840581,3.1643625192012292
321,BS_72,BS_72_5_AC.pickle,10,post late,0.753147107,39.34666666666668
322,BS_72,BS_72_5_AC.pickle,36,post late,0.799776069,20.210970464135016
323,BS_72,BS_72_5_AC.pickle,42,post late,0.699903765,35.62666666666672
324,BS_72,BS_72_5_AC.pickle,54,post late,0.592464082,0.9322033898305085
325,BS_72,BS_72_6_AC.pickle,12,post late,0.582654558,2.866666666666672
326,BS_72,BS_72_6_AC.pickle,13,post late,0.564080338,2.72
327,BS_72,BS_72_6_AC.pickle,14,post late,0.64114553,4.483430799220272
328,BS_72,BS_72_6_AC.pickle,23,post late,0.560482734,11.053333333333326
329,BS_72,BS_72_6_AC.pickle,26,post late,0.564538407,11.373333333333322
330,BS_72,BS_72_6_AC.pickle,27,post late,0.635627828,7.605409705648372
331,BS_72,BS_72_6_AC.pickle,28,post late,0.56891601,2.960000000000004
332,BS_72,BS_72_6_AC.pickle,31,post late,0.606333846,8.69333333333334
333,BS_72,BS_72_6_AC.pickle,32,post late,0.663163776,2.7188081936685298
334,BS_72,BS_72_6_AC.pickle,40,post late,0.646466994,21.863799283154098
335,BS_72,BS_72_6_AC.pickle,41,post late,0.596826831,5.613333333333349
